row id,sepal_length,sepal_width,class
139,4.8,1.8,Iris-virginica
26,1.6,0.2,Iris-setosa
57,4.7,1.6,Iris-versicolor
136,6.1,2.3,Iris-virginica
96,4.2,1.2,Iris-versicolor
79,4.5,1.5,Iris-versicolor
81,3.8,1.1,Iris-versicolor
18,1.4,0.3,Iris-setosa
21,1.7,0.2,Iris-setosa
106,6.6,2.1,Iris-virginica
10,1.5,0.1,Iris-setosa
30,1.6,0.2,Iris-setosa
92,4.6,1.4,Iris-versicolor
2,1.4,0.2,Iris-setosa
112,5.3,1.9,Iris-virginica
29,1.4,0.2,Iris-setosa
76,4.4,1.4,Iris-versicolor
38,1.5,0.1,Iris-setosa
3,1.3,0.2,Iris-setosa
53,4.9,1.5,Iris-versicolor
95,4.2,1.3,Iris-versicolor
40,1.5,0.2,Iris-setosa
109,5.8,1.8,Iris-virginica
115,5.1,2.4,Iris-virginica
88,4.4,1.3,Iris-versicolor
25,1.9,0.2,Iris-setosa
58,3.3,1.0,Iris-versicolor
41,1.3,0.3,Iris-setosa
52,4.5,1.5,Iris-versicolor
123,6.7,2.0,Iris-virginica
34,1.4,0.2,Iris-setosa
19,1.7,0.3,Iris-setosa
121,5.7,2.3,Iris-virginica
102,5.1,1.9,Iris-virginica
128,4.9,1.8,Iris-virginica
55,4.6,1.5,Iris-versicolor
113,5.5,2.1,Iris-virginica
131,6.1,1.9,Iris-virginica
97,4.2,1.3,Iris-versicolor
150,5.1,1.8,Iris-virginica
93,4.0,1.2,Iris-versicolor
71,4.8,1.8,Iris-versicolor
90,4.0,1.3,Iris-versicolor
69,4.5,1.5,Iris-versicolor
73,4.9,1.5,Iris-versicolor
45,1.9,0.4,Iris-setosa
46,1.4,0.3,Iris-setosa
114,5.0,2.0,Iris-virginica
70,3.9,1.1,Iris-versicolor
35,1.5,0.1,Iris-setosa
